                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.4295,                  0.202,                0.08505,                0.80573,                 1.3976,                0.94047,                0.92993,                0.93858,                0.60565,                      1,                0.98659,                  0.995,                  0.995,                 1.4154,                0.07759,                0.01035,                0.63075,                 1.3963,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.3761,                0.19024,                0.07463,                0.77023,                 1.3736,                0.98093,                      1,                  0.995,                0.69391,                0.98093,                      1,                  0.995,                  0.995,                 1.2114,                0.09177,                 0.0176,                0.63616,                 1.2848,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.4028,                0.15833,                0.09556,                 0.7873,                 1.4119,                 0.8928,                0.98056,                0.96222,                0.58597,                 0.8928,                0.98056,                0.96222,                0.96114,                 1.4196,                0.08895,                0.01472,                0.79592,                 1.4263,                0.00101,                0.00101,                0.00101
                     53,                 1.3395,                0.21901,                0.07977,                0.81109,                 1.3519,                0.99776,                      1,                  0.995,                0.69318,                0.99776,                      1,                  0.995,                  0.995,                 1.2185,                0.09025,                0.00481,                 0.6026,                 1.3159,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.3917,                0.18956,                0.10301,                0.82024,                 1.4073,                0.99257,                      1,                  0.995,                0.64419,                0.99257,                      1,                  0.995,                  0.995,                 1.2939,                0.11969,                0.02076,                0.68361,                 1.3415,              0.0009704,              0.0009704,              0.0009704
                     55,                   1.44,                0.18297,                0.09943,                0.83408,                 1.3928,                0.93558,                0.94118,                0.95941,                0.61041,                0.98511,                      1,                  0.995,                  0.995,                 1.3915,                  0.087,                0.00684,                 0.6492,                 1.3981,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.3156,                0.16186,                0.07944,                0.77618,                 1.3544,                0.99236,                      1,                  0.995,                0.67938,                0.99236,                      1,                  0.995,                0.99439,                 1.1232,                0.06729,                0.00544,                0.60612,                 1.2724,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.3376,                0.14536,                0.11329,                0.79997,                 1.3612,                0.97196,                      1,                  0.995,                 0.6189,                0.97196,                      1,                  0.995,                  0.995,                 1.2671,                0.08565,                0.01946,                0.59703,                 1.3156,               0.000911,               0.000911,               0.000911
                     58,                  1.324,                0.14255,                0.08941,                0.76291,                 1.3511,                0.98671,                      1,                  0.995,                0.71338,                0.98671,                      1,                  0.995,                  0.995,                 1.0432,                0.06975,                 0.0088,                0.60697,                 1.2254,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.3353,                0.13982,                0.06966,                0.75358,                 1.3171,                0.96281,                0.94118,                0.98974,                0.67051,                0.96281,                0.94118,                0.98974,                0.98681,                 1.2777,                0.07903,                0.00646,                0.64333,                  1.289,              0.0008714,              0.0008714,              0.0008714
                     60,                   1.28,                0.14079,                0.07386,                0.72747,                 1.3335,                0.88177,                      1,                0.96842,                0.63189,                0.88177,                      1,                0.96842,                0.96842,                 1.2539,                0.08375,                0.01281,                0.67089,                 1.2935,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.3655,                0.15067,                0.08901,                0.76824,                 1.3363,                0.98782,                      1,                  0.995,                0.72789,                0.98782,                      1,                  0.995,                  0.995,                 1.0582,                0.10208,                0.00875,                0.58871,                 1.2181,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.3507,                0.12017,                0.07135,                0.75175,                 1.3255,                0.98298,                      1,                  0.995,                0.68564,                0.98298,                      1,                  0.995,                  0.995,                 1.2082,                0.05455,                 0.0062,                0.62519,                 1.2295,               0.000812,               0.000812,               0.000812
                     63,                 1.3391,                0.15182,                0.06996,                0.72783,                 1.3152,                0.93827,                      1,                  0.995,                0.67403,                0.93827,                      1,                  0.995,                  0.995,                 1.1154,                0.06498,                0.00705,                0.59542,                 1.2584,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.3299,                0.16243,                0.08816,                0.75867,                 1.3778,                0.97442,                      1,                  0.995,                0.63249,                0.97442,                      1,                  0.995,                  0.995,                 1.2489,                 0.0604,                0.00799,                 0.6513,                 1.3155,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.3164,                0.12655,                0.07499,                0.74042,                 1.3267,                0.99309,                      1,                  0.995,                0.65788,                0.99309,                      1,                  0.995,                  0.995,                  1.224,                0.05424,                0.00179,                0.56412,                 1.2412,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.2966,                0.15511,                0.06433,                0.71524,                 1.3205,                0.97712,                      1,                  0.995,                0.69664,                0.97712,                      1,                  0.995,                 0.9889,                 1.1727,                0.08343,                0.00482,                0.55966,                 1.2386,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.2701,                0.12418,                0.06472,                0.71303,                 1.2963,                0.99374,                      1,                  0.995,                0.66213,                0.99374,                      1,                  0.995,                  0.995,                 1.2389,                0.07817,                0.00754,                0.57571,                  1.258,               0.000713,               0.000713,               0.000713
                     68,                 1.2828,                0.12892,                0.07276,                0.70358,                 1.3057,                0.99384,                      1,                  0.995,                0.71231,                0.99384,                      1,                  0.995,                  0.995,                    1.1,                0.08482,                0.00209,                0.55724,                 1.2161,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.1805,                0.10376,                0.08494,                0.66753,                 1.2639,                0.97125,                      1,                  0.995,                0.72059,                0.97125,                      1,                  0.995,                  0.995,                 1.1671,                0.05775,                0.00929,                0.57288,                  1.275,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.2665,                0.11823,                 0.0585,                0.69112,                 1.2853,                0.99215,                      1,                  0.995,                0.64914,                0.99215,                      1,                  0.995,                  0.995,                 1.3264,                0.07574,                0.00254,                0.63273,                   1.26,              0.0006536,              0.0006536,              0.0006536
                     71,                  1.249,                 0.1138,                 0.0649,                0.69376,                 1.2998,                0.98592,                      1,                  0.995,                0.75552,                0.98592,                      1,                  0.995,                  0.995,                0.97383,                0.05556,                0.00167,                0.53138,                  1.164,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.2755,                0.11979,                0.07961,                0.71664,                  1.311,                0.99087,                      1,                  0.995,                0.69254,                0.99087,                      1,                  0.995,                  0.995,                  1.192,                0.05007,                0.00529,                0.62215,                 1.2533,               0.000614,               0.000614,               0.000614
                     73,                 1.2839,                0.11065,                0.06056,                0.71418,                 1.2897,                0.96372,                      1,                  0.995,                0.67626,                0.96372,                      1,                  0.995,                  0.995,                 1.1993,                0.04926,                0.00324,                0.57553,                  1.251,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.2673,                 0.1106,                0.04976,                 0.6863,                 1.2792,                0.99541,                      1,                  0.995,                0.71154,                0.99541,                      1,                  0.995,                  0.995,                 1.1337,                 0.0536,                 0.0034,                0.53833,                 1.1852,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.2181,                 0.1108,                0.05023,                0.67727,                 1.2727,                0.99498,                      1,                  0.995,                 0.7253,                0.99498,                      1,                  0.995,                  0.995,                 1.0963,                0.06812,                0.00152,                0.50836,                 1.2066,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.2253,                0.11567,                0.05382,                0.66316,                  1.237,                0.99079,                      1,                  0.995,                0.74917,                0.99079,                      1,                  0.995,                  0.995,                 1.0439,                0.04544,                0.00466,                0.55493,                 1.1849,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.2389,                 0.1029,                0.04664,                0.67269,                 1.2716,                0.97998,                      1,                  0.995,                 0.7776,                0.97998,                      1,                  0.995,                  0.995,                0.98584,                0.05253,                 0.0015,                0.49594,                 1.1695,               0.000515,               0.000515,               0.000515
                     78,                 1.2273,                0.09632,                0.06095,                0.67764,                 1.2474,                0.99395,                      1,                  0.995,                0.75835,                0.99395,                      1,                  0.995,                  0.995,                  1.009,                0.04002,                0.00252,                0.53277,                 1.1514,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.1746,                0.10962,                 0.0618,                0.64469,                 1.2471,                0.99281,                      1,                  0.995,                0.74612,                0.99281,                      1,                  0.995,                  0.995,                 1.0144,                0.05365,                0.00484,                0.47863,                 1.1666,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.1401,                0.09006,                0.05689,                0.62488,                  1.226,                0.99419,                      1,                  0.995,                0.71061,                0.99419,                      1,                  0.995,                  0.995,                 1.1273,                0.04286,                0.00279,                0.51187,                 1.1989,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.1834,                0.10726,                0.06438,                0.64903,                 1.2402,                0.98539,                      1,                  0.995,                0.69886,                0.98539,                      1,                  0.995,                  0.995,                  1.123,                0.05008,                0.00465,                 0.5566,                  1.189,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.2014,                0.11734,                 0.0704,                0.66629,                 1.2365,                0.99229,                      1,                  0.995,                0.74064,                0.99229,                      1,                  0.995,                  0.995,                 1.0398,                0.06049,                0.00704,                0.51184,                 1.1752,               0.000416,               0.000416,               0.000416
                     83,                 1.1692,                0.08324,                0.04905,                0.63139,                 1.2349,                0.98212,                      1,                  0.995,                0.73038,                0.98212,                      1,                  0.995,                  0.995,                 1.1121,                0.04198,                 0.0031,                0.54201,                 1.1687,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.1729,                0.11747,                0.05624,                  0.661,                 1.2361,                 0.9886,                      1,                  0.995,                0.75293,                 0.9886,                      1,                  0.995,                  0.995,                0.99299,                0.05804,                0.00189,                0.50769,                 1.1518,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.1726,                0.08948,                0.06066,                0.63322,                 1.2071,                0.99175,                      1,                  0.995,                0.74289,                0.99175,                      1,                  0.995,                  0.995,                  1.056,                0.04295,                0.00622,                0.46442,                 1.1376,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.1862,                0.08724,                0.06155,                 0.6451,                 1.2326,                 0.9925,                      1,                  0.995,                0.75245,                 0.9925,                      1,                  0.995,                  0.995,                0.95317,                0.05024,                0.00631,                0.48134,                 1.1398,              0.0003368,              0.0003368,              0.0003368
                     87,                   1.13,                0.09408,                0.04398,                0.62199,                 1.2099,                 0.9875,                      1,                  0.995,                0.76844,                 0.9875,                      1,                  0.995,                  0.995,                0.97301,                0.03877,                0.00181,                0.49699,                 1.1124,               0.000317,               0.000317,               0.000317
                     88,                 1.1758,                0.09373,                0.04943,                 0.6315,                 1.2387,                      1,                0.98891,                  0.995,                0.70864,                      1,                0.98891,                  0.995,                  0.995,                 1.1644,                0.03911,                0.00147,                0.52119,                 1.1909,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.1766,                0.10375,                0.05063,                 0.6342,                 1.2417,                0.99354,                      1,                  0.995,                0.74953,                0.99354,                      1,                  0.995,                  0.995,                0.99104,                  0.042,                0.00131,                0.47436,                 1.1385,              0.0002774,              0.0002774,              0.0002774
                     90,                  1.125,                 0.0815,                0.04601,                0.61195,                 1.1886,                0.99188,                      1,                  0.995,                0.73185,                0.99188,                      1,                  0.995,                  0.995,                 1.1375,                0.04412,                0.00121,                0.51915,                 1.2104,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.0901,                0.04544,                0.00471,                0.56139,                 1.2129,                0.99437,                      1,                  0.995,                0.72327,                0.99437,                      1,                  0.995,                  0.995,                 1.0383,                0.05649,                0.00116,                0.49659,                 1.1777,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.0542,                0.04646,                0.00357,                0.54401,                 1.2019,                0.99477,                      1,                  0.995,                0.74499,                0.99477,                      1,                  0.995,                  0.995,                 1.0009,                0.04691,                0.00111,                 0.4774,                 1.1365,               0.000218,               0.000218,               0.000218
                     93,                 1.0447,                0.03937,                0.00377,                0.52914,                 1.1774,                0.99428,                      1,                  0.995,                 0.7266,                0.99428,                      1,                  0.995,                  0.995,                  1.041,                0.04379,                 0.0007,                0.49923,                 1.1459,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.0219,                0.04113,                0.00241,                0.52518,                 1.1885,                0.99481,                      1,                  0.995,                0.76572,                0.99481,                      1,                  0.995,                  0.995,                0.93841,                0.04539,                0.00043,                0.46999,                 1.1129,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.0264,                0.04093,                 0.0073,                0.52831,                 1.1929,                0.99443,                      1,                  0.995,                0.76578,                0.99443,                      1,                  0.995,                  0.995,                 0.9819,                0.03855,                0.00046,                0.47167,                 1.1204,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.0365,                0.04048,                0.00368,                0.53809,                 1.1955,                0.99517,                      1,                  0.995,                0.76287,                0.99517,                      1,                  0.995,                  0.995,                 1.0055,                 0.0396,                0.00047,                0.48301,                 1.1259,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.0351,                 0.0372,                0.00385,                0.52257,                  1.201,                0.99488,                      1,                  0.995,                0.73421,                0.99488,                      1,                  0.995,                  0.995,                 1.0665,                0.03959,                 0.0004,                 0.4728,                 1.1548,               0.000119,               0.000119,               0.000119
